trial,in_mask,out_mask,count_zero,prob,abs_bias,z,exceeds_threshold,timestamp
482,e9b60ab2859aef7e6a0119c2d3eb4d15,a960700aa843478368f891064d97aa22,24999,0.499980,0.000020,-0.009,0,2026-07-07T10:17:11
483,9fbf3c764fdb32c59bea583d519c2c6b,96c4d254542dceb8a511d80339334e36,25010,0.500200,0.000200,+0.089,0,2026-07-07T10:17:12
484,6af97ce4e9b60826531a5ef0876379d4,5a56d5706be95294b6c5a933ba16b45e,24961,0.499220,0.000780,-0.349,0,2026-07-07T10:17:12
485,1494fa1fe168234c51357ec406ac86c8,222c0247fd6a7b79d46c83c1adca17d9,25172,0.503440,0.003440,+1.538,0,2026-07-07T10:17:13
486,b5c9bb60caaeefa8d5906bbf7bcadee5,ed0ec99979d70886bd38fe567a909072,24941,0.498820,0.001180,-0.528,0,2026-07-07T10:17:13
487,e85602c776210d37474895d64b10a608,33ec569aae11e08331fe317200ed77fd,24931,0.498620,0.001380,-0.617,0,2026-07-07T10:17:14
488,410a9d74b594279ab17202803b627ef9,4de2d666e382e6fa1f9b58dcedc84f49,24969,0.499380,0.000620,-0.277,0,2026-07-07T10:17:15
489,67c790f0b58b3966b66faf9686ef14a1,38517730499ff4c49fa106a5b008d3f6,25295,0.505900,0.005900,+2.639,1,2026-07-07T10:17:15
490,3b64eb9c9fb07dfb33067445a58b1199,3adf7d073dfc9119b23c9689a2ce2c63,24952,0.499040,0.000960,-0.429,0,2026-07-07T10:17:16
491,fd573e07fee746bfa45dc73d1eb194ca,c2b8129a6100a82b1f7aafbdfb9c4de2,25114,0.502280,0.002280,+1.020,0,2026-07-07T10:17:16
492,aa9139c15de7c83a15a21e544abcbd8f,c08db6296bf4712df24128be5c75f607,24876,0.497520,0.002480,-1.109,0,2026-07-07T10:17:17
493,3c2d63de9537eabd16b100b88ea39e78,42731f21276a7f77ffc76e08a16afa2a,24978,0.499560,0.000440,-0.197,0,2026-07-07T10:17:17
494,a67e04c761d7709ad9ca04af3963e7aa,c143e265a849f0b7c372da861d2f0553,25055,0.501100,0.001100,+0.492,0,2026-07-07T10:17:18
495,bb62be87e6057b2bd8b17e605d8fbc67,887e52eb20c903aa599749c0506a944f,25024,0.500480,0.000480,+0.215,0,2026-07-07T10:17:18
496,d438ec2ddc3e4f916a210330742e3001,3b595b71650008711eb64eba4f9320cf,25185,0.503700,0.003700,+1.655,0,2026-07-07T10:17:19
497,5a8c7bd2ae0d2a07bfd2bb70958b30ba,f2d410045ce74bdf71dc531ab54b1547,25189,0.503780,0.003780,+1.690,0,2026-07-07T10:17:20
498,278f685eb7b74070c3c1106bcc9fe748,d881a9a605964800fbeb3435ea898bff,25193,0.503860,0.003860,+1.726,0,2026-07-07T10:17:20
499,f78d4057b4e1df5eb63f3fe457f58e25,faa249260ec50a3f62ce67f2293eb14f,25121,0.502420,0.002420,+1.082,0,2026-07-07T10:17:21
500,c3c36d37ab46003dc8731a21542fe2c2,89afef98bc4568cd7bced5016182552a,24946,0.498920,0.001080,-0.483,0,2026-07-07T10:17:21
